ngram,count
financial statement,653
management report,569
combine management,551
basf report,499
consolidate financial,481
statement information,479
report consolidate,476
supervisory board,392
executive director,369
value chain,341
glance combine,327
board executive,318
sustainability statement,315
raw material,312
basf group,271
cash flow,228
previous year,216
report sustainability,181
statement glance,180
long term,176
combine management report,551
consolidate financial statement,481
financial statement information,478
management report consolidate,476
report consolidate financial,476
glance combine management,327
board executive director,314
basf report sustainability,181
report sustainability statement,181
sustainability statement glance,180
statement glance combine,180
report combine management,155
consolidated financial statement,129
property plant equipment,121
basf report note,108
note report combine,105
report note report,104
report fundamental group,103
basf report fundamental,102
fundamental group glance,102
