company,action,metric,target_value,target_year,sentence
BASF_Report_2024,reduce,emission,25%,2018,"by 2030, we want to reduce our co emissions from production (scope 1) and energy purchases (scope 2)2 by 25% 2 compared with 2018 (2018: 21.9 million metric tons, 2030 target: 16.4 million metric tons)."
BASF_Report_2024,reduce,emission,15%,2022,"[by 2030, we want to reduce the specific co 2 emissions from the purchase of our raw materials (scope 3.1)4 by 15% compared with 2022 (2022: 1.64 kilograms of co per kilogram of raw materials 2 purchased, 2030 target: 1.39 kilograms)."
BASF_Report_2024,cut,emission,49%,2023,"the board of executive directors and supervisory board dealt with the following significant impacts, risks and opportunities of basf during the reporting period: basf report 2024 corporate governance 131 at a glance combined management’s report consolidated financial statements further information list of significant impacts, risks and opportunities with which the management, control and supervisory bodies, or their responsible committees, dealt with during the reporting period handled by the audit material effects, risks, handled by the board of executive handled by the supervisory committee of the opportunities directors board supervisory board mitigating climate change catch update – standard evaluation reduction of co emissions reduction of co 2 2 methodology for co reduction measures (scope 1 & 2, scope 3.1) emissions (scope 1 & 2, 2 at basf; scope 3.1) net zero accelerator senior project – further development of the organization; compensation strategy to safeguard climate targets for 2030 and future obligations in european emissions trading energy acquisition of a 49% stake in german geothermal energy as a heat offshore wind farms n-6.6 and n-7.2 source for steam generation from vattenfall; for the ludwigshafen site purchase of renewable energy; hydrogen technology water pollution aqueous film-forming foam (afff) – class afff – class settlement settlement with drinking water suppliers with drinking water in the united states suppliers in the united states resource inflows including technologies for recyclability and renewable raw materials in resource utilization recyclate content; the basf verbund gasification; renewable carbon; renewable raw materials in the basf verbund waste use of recycled feedstocks use of recycled feedstocks occupational safety and responsible care audits; ehs audits health protection (s1) process safety excellence senior project health and safety (s2) human rights report 2023 case reporting on human rights child labor (s2) human rights report 2023 other social and economic human rights report 2023 rights (s3) free, prior and informed human rights report 2023 consent (s3) corporate culture compliance report 2023; compliance in the basf employee voices results; group political relations and advocacy policy protection of whistleblowers compliance report 2023 compliance in the basf group corruption and bribery (for compliance report 2023 compliance in the basf example, prevention and group detection including training, incidents) cross-thematic issues and other sustainability and risk management-related topics sustainability-related targets of the update on basf’s divisions sustainability targets basf sustainability award 2024 corporate strategy: sustainable transformation; green transformation; corporate goals; capital allocation framework; green transformation narrative, updated sustainability setup basf report 2024 corporate governance 132 at a glance combined management’s report consolidated financial statements further information handled by the audit material effects, risks, handled by the board of executive handled by the supervisory committee of the opportunities directors board supervisory board double materiality assessment in double materiality assessment material effects, risks connection with esrs implementation in connection with esrs and opportunities for implementation; basf; csrd/esrs csrd/esrs: legal reporting requirements requirements for the supervisory board; esrs implementation at basf sustainable finance sales revenue with sustainable-future solutions risk management at basf corporate audit activity report 2023, report on the work of audit planning 2024 corporate audit internal control system (ics) of financial reporting for more details on information processes, see opportunities and risks from onward."
BASF_Report_2024,reduce,emission,25%,2030,"we want to reduce greenhouse gas emissions from our production processes (scope 1) and our energy purchases (scope 2) by 25% by 2030 compared to the base year of 2018, and are aiming to achieve net-zero greenhouse gas emissions by 2050.8 our target focuses on emissions caused by our production and includes around 96% of our scope 1 emissions and 99% of our scope 2 emissions (see ).9"
BASF_Report_2024,reduce,emission,15%,2022,"by 2030, we want to reduce these scope 3.1 emissions in relation to the purchasing volume specifically by 15% compared to the 2022 base year (see )."
BASF_Report_2024,reduce,emission,73%,2018,"thanks to these and other measures, we have been able to reduce our emissions from the use of sold products (scope 3.11) by around 73% since 2018.21 we also want to reduce emissions resulting from the disposal of our products (scope 3.12)."
DuPont_2025SustainabilityReport,reduce,emission,50%,2030,"delivering sustainable innovation for our customers innovate products to meaningfully address the world’s sustainability challenges, with positive impacts for customers and society acting on climate leading water stewardship reduce our scopes 1 and 2 greenhouse gas emissions implement holistic water strategies by 50% by 2030 from the 2019 base year and deliver at sites in high-risk watersheds and innovate carbon neutral in operations by 2050 at high-consumption sites reduce our scope 3 emissions from purchased goods enable millions of people access to for good and services and end-of-life of sold products by 25% clean water through leadership in our commitment to use our talent, protect by 2030 from the 2020 base year advancing water technology and enacting strategic partnerships resources, and innovation expertise source 60% of power to our operations from renewable people and the planet sources by 2030 as part of our re100 commitment to work on meaningful and valuable our commitment to take action solutions to societal challenges."
DuPont_2025SustainabilityReport,reduce,emission,66%,2019,we’ve continued to evolve our climate strategy and have reduced our scopes 1 and 2 greenhouse gas (ghg) emissions by 66% since 2019.
DuPont_2025SustainabilityReport,reduce,emission,60%,2030,"dupont asturias, spain 22 dupont 2025 sustainability report introduction innovate for good protect people and the planet empower people to thrive governance appendices achieving our we surpassed both of our sbti-validated targets and reduce ghg emissions from our operations and value chains our near-term goal to source 60% of electricity for ambition and planning our operations from renewable sources or through operations (scopes 1 and 2) value chains (scope 3) for the future the purchase of recs by 2030."
DuPont_2025SustainabilityReport,reduce,emission,50%,2030,"include: climate strategy business transition plans • reduce our scopes 1 and 2 greenhouse gas at dupont, we continue to define the plans that (ghg) emissions by 50% by 2030 from a 2019 enable our businesses to meet our future goals."
DuPont_2025SustainabilityReport,achieve,emission,30%,2019,"ev battery cells with betaforce™ tc ribbon-to-cell thermal bonding 23 dupont 2025 sustainability report introduction innovate for good protect people and the planet empower people to thrive governance appendices significant climate action milestones 2019 and 2020 2021 2022 2023 2024 established climate goals: completed scope 3 inventory achieved a 36% reduction achieved a 58% reduction of achieved a 66% reduction of of scopes 1 and 2 emissions, scopes 1 and 2 emissions from scopes 1 and 2 emissions from • reduce scopes 1 and 2 ghg included first task force on exceeding 30% reduction target the 2019 baseline, exceeding the 2019 baseline emissions by 30% by 2030 climate-related financial 50% reduction goal • source 60% of electricity from disclosures (tcfd) disclosure set new target to reduce scopes 1 achieved a 60% reduction of renewable energy by 2030 in annual sustainability report and 2 emissions by 50% by 2030 achieved a 46% reduction of scope scope 3, categories 1 and 12 3, categories 1 and 12 emissions from emissions from the 2020 baseline • deliver carbon neutral styrofoam™ xps brand set first scope 3 reduction target the 2020 baseline operations by 2050 insulation product lines committed to be net-zero by 2050, featured lower gwp options sbti validated dupont’s new sourced 57% of power for our with initial climate transition plans began the phased launch of a new, goals, confirming alignment operations from renewable completed by each business low-global warming potential (gwp) joined re100 and committed with 1.5° c ambition electricity, including the styrofoam™ brand xps insulation to 100% renewable electricity purchase of recs awarded an a- cdp climate score by 2050 sourced 54% of electricity from for the second consecutive year awarded an a- cdp climate score renewable energy, and our awarded an a- cdp climate score first virtual power purchase named as a finalist for the 2024 agreement (vppa) came online launched together for the planet world sustainability awards’ supplier engagement program and carbon reduction award exited the use of coal in our operations engaged 40% of suppliers by spend for thermal energy dupont zhangjiagang, jiangsu, china 24 dupont 2025 sustainability report introduction innovate for good protect people and the planet empower people to thrive governance appendices partnerships to meet reducing ghg emissions in the climate challenge our operations and value chains • the world business council for sustainable development and implementation of low-carbon industrial processes world resources institute provide opportunities for thought since announcing reduction targets in 2019, we’ve realized significant leadership in climate-related working groups and to learn emissions reductions in manufacturing through process change from our peers."
DuPont_2025SustainabilityReport,reduce,emission,92%,2019,"as of the end of 2024, 2 actual emissions (2019–2024) we have reduced our ghg emissions from coal-based steam generation 4.0mm projected to be eliminated by 2030 as a result of by 92% from a 2019 baseline, with the remaining emissions coming from best-in-class scopes 1 and 2 emissions reductions 3.0mm steam supplied by third-party utilities."
DuPont_2025SustainabilityReport,reduce,emission,60%,2030,"44.0.04.0 in 2024, we reduced our scope 3 emissions from purchased goods and services and end-of-life of sold products from the 2020 baseline by 60%, continuing to surpass our 2030 sbti-approved goal of 25% reduction."
