Year,Actual_Total_Emissions,Predicted_Total_Emissions,Actual_YoY_Change,Predicted_YoY_Change,Actual_Trend,Predicted_Trend
1970,9301.18124063709,9212.05636493253,,,7211.101310560247,7203.683132061735
1971,9156.71936776825,9426.077495846648,-1.5531561973836427,2.323272051708569,7502.976523549063,7496.113617195399
1972,9581.78329336133,9418.899875661238,4.642098425439456,-0.07614641603119754,7794.851736537879,7788.544102329062
1973,10068.175502124239,9959.004299917066,5.076218005263189,5.734262295870418,8086.7269495266955,8080.97458746261
1974,9844.87961242657,9777.115315557632,-2.2178386704776565,-1.8263772048069948,8378.602162515512,8373.405072596273
1975,9604.85158545133,9733.774200440252,-2.4381001741480723,-0.4432914384104203,8670.477375504328,8665.835557729937
1976,10143.29717053422,10221.785043479824,5.605975066793167,5.013582943166073,8962.352588493144,8958.2660428636
1977,10465.79919584273,10333.604172941048,3.1794594980945945,1.0939295728249476,9254.22780148196,9250.696527997148
1978,10680.6456680527,10677.379993591425,2.0528434397567352,3.3267755847525837,9546.103014470777,9543.127013130812
1979,10925.90185822691,10974.122193125548,2.2962674523301807,2.779166796650756,9837.978227459476,9835.557498264476
1980,10502.90059945657,10476.223382204558,-3.871545472942628,-4.537026307515379,10129.853440448293,10127.98798339814
1981,10294.65365789078,10413.865953786932,-1.9827564737360803,-0.5952281289033023,10421.728653437109,10420.418468531687
1982,9997.202068732051,9998.220667352882,-2.889379274364756,-3.991267875720095,10713.603866425925,10712.84895366535
1983,10051.15502159141,10064.212963822794,0.5396805274958449,0.6600404078437316,11005.479079414741,11005.279438799014
1984,10520.58285638354,10477.399738934715,4.670386973275487,4.105505086162009,11297.354292403557,11297.709923932562
1985,10582.40730720964,10477.889458398948,0.5876523351421303,0.004674055361397755,11589.229505392374,11590.140409066225
1986,10702.65869941318,10756.258540309014,1.1363330545934858,2.656728561751809,11881.10471838119,11882.57089419989
1987,11036.93281963543,11073.288912487056,3.123281136121614,2.947403792777692,12172.979931370006,12175.001379333553
1988,11518.81506912747,11496.229320067527,4.366088453802486,3.8194651193786955,12464.855144358822,12467.4318644671
1989,11715.683550125306,11684.650252518984,1.7091035824116974,1.6389802882807336,12756.730357347638,12759.862349600764
1990,11700.104398291529,11726.815285033743,-0.1329768917632701,0.3608583192780568,13048.605570336455,13052.292834734428
1991,11870.61348159327,11925.698633367942,1.4573295886713522,1.695970674902858,13340.48078332527,13344.723319868091
1992,12036.366428274498,12017.204491272878,1.3963300796395073,0.7672997676539062,13632.355996314087,13637.153805001639
1993,12368.19138518147,12364.879778020924,2.7568532321140093,2.8931461306207717,13924.231209302903,13929.584290135303
1994,12724.281003557184,12699.78378993255,2.8790759075926875,2.708510053667723,14216.10642229172,14222.014775268966
1995,13179.834536880033,13174.51627114964,3.580190764377922,3.7381146724200454,14507.981635280536,14514.445260402514
1996,13460.28602981181,13443.422187366405,2.127883260954544,2.0411065627178315,14799.856848269352,14806.875745536177
1997,13673.234158302828,13711.948930625123,1.5820475732787553,1.9974582328528667,15091.732061258168,15099.306230669841
1998,13772.715836674322,13808.90381476501,0.7275650897200947,0.7070831770919161,15383.607274246984,15391.736715803505
1999,13788.681160584176,13828.88079485904,0.11591993982291715,0.14466738534792967,15675.4824872358,15684.167200937052
2000,14304.231847261452,14335.590051179415,3.7389412422633272,3.664137856396499,15967.357700224617,15976.597686070716
2001,14464.198553743046,14365.805711163535,1.1183173496465804,0.21077374475866328,16259.232913213433,16269.02817120438
2002,14721.500869344814,14756.089642550654,1.778890926073351,2.7167562977956194,16551.10812620225,16561.458656338044
2003,15517.74899225625,15547.4642102043,5.40874283117081,5.363037138047999,16842.983339191065,16853.88914147159
2004,16432.97298152037,16344.333900637255,5.8979172154468795,5.1253997414571595,17134.85855217988,17146.319626605255
2005,17184.51451626658,17138.911674401377,4.573375344749575,4.861487648224938,17426.733765168698,17438.75011173892
2006,17845.948421902478,17883.427909621383,3.8490113003180726,4.34401115639107,17718.608978157514,17731.180596872466
2007,18715.91053704835,18773.189014473945,4.8748438277349315,4.975338673039653,18010.484191146214,18023.61108200613
2008,18705.114857984066,18663.751904467514,-0.05768182660903509,-0.5829436326564186,18302.35940413503,18316.041567139793
2009,18788.36977229859,18962.84276564555,0.44509170324065206,1.6025227012712362,18594.234617123846,18608.472052273457
2010,20073.439656785496,20149.052703813373,6.83970935243996,6.255443621126511,18886.109830112662,18900.902537407004
2011,20892.881567388187,20666.905856357367,4.082219712283797,2.570111658132612,19177.98504310148,19193.333022540668
2012,21188.59865909904,21177.595956451263,1.4153963911442302,2.4710525302789943,19469.860256090295,19485.76350767433
2013,21819.009345582443,21962.459736065302,2.9752353925146746,3.706104230281859,19761.73546907911,19778.193992807996
2014,22062.394775430268,22037.548097533465,1.115474245383652,0.34189413376524147,20053.610682067927,20070.624477941543
2015,21886.20278790915,21926.686208207255,-0.7986077183123053,-0.5030590918534084,20345.485895056743,20363.054963075207
2016,21991.934101295665,22114.796593925566,0.48309574032150415,0.8579061328834126,20637.36110804556,20655.48544820887
2017,22155.850362827252,22150.02114630636,0.7453471840020098,0.15928047192832473,20929.236321034376,20947.915933342418
2018,22567.857523209004,22568.138783402457,1.8595863107697008,1.8876624737029557,21221.11153402319,21240.34641847608
